Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Acta Crystallographica Section B: Structural Science","Acta Crystallogr B","0108-7681","1600-5740","International Union of Crystallography","8403252","v.67(Pt 6);Dec 1, 2011","v.64;2008","12 months","Some"," NIH Portfolio "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B%22%5Bjournal%5D
"Acta Crystallographica Section B, Structural Science, Crystal Engineering and Materials","Acta Crystallogr B Struct Sci Cryst Eng Mater","2052-5192","2052-5206","International Union of Crystallography","101609037","v.73(Pt 1);Feb 1, 2017","v.69;2013","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+B+Struct+Sci+Cryst+Eng+Mater%22%5Bjournal%5D
"Acta Crystallographica Section C: Crystal Structure Communications","Acta Crystallogr C","0108-2701","1600-5759","International Union of Crystallography","8305826","v.69(Pt 11);Nov 15, 2013","v.64;2008","12 months","Some"," NIH Portfolio "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C%22%5Bjournal%5D
"Acta Crystallographica. Section C, Structural Chemistry","Acta Crystallogr C Struct Chem","","2053-2296","International Union of Crystallography","101620313","v.73(Pt 3);Mar 1, 2017","v.70;2014","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+C+Struct+Chem%22%5Bjournal%5D
"Acta Crystallographica Section D: Biological Crystallography","Acta Crystallogr D Biol Crystallogr","0907-4449","1399-0047","International Union of Crystallography","9305878","v.71(Pt 12);Dec 1, 2015","v.55;1999","12 months","Some"," NIH Portfolio "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Biol+Crystallogr%22%5Bjournal%5D
"Acta Crystallographica. Section D, Structural Biology","Acta Crystallogr D Struct Biol","","2059-7983","International Union of Crystallography","101676043","v.73(Pt 5);May 1, 2017","v.72;2016","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+D+Struct+Biol%22%5Bjournal%5D
"Acta Crystallographica Section E: Crystallographic Communications","Acta Crystallogr E Crystallogr Commun","","2056-9890","International Union of Crystallography","101648987","v.73(Pt 5);May 1, 2017","v.71;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2659/
"Acta Crystallographica. Section F, Structural Biology Communications","Acta Crystallogr F Struct Biol Commun","","2053-230X","International Union of Crystallography","101620319","v.73(Pt 5);May 1, 2017","v.70;2014","24 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2302/
"Acta Crystallographica Section E: Structure Reports Online","Acta Crystallogr Sect E Struct Rep Online","","1600-5368","International Union of Crystallography","101089178","v.70(Pt 12);Dec 1, 2014","v.64;2008","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/524/
"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","Acta Crystallogr Sect F Struct Biol Cryst Commun","","1744-3091","International Union of Crystallography","101226117","v.69(Pt 12);Dec 1, 2013","v.61;2005","24 months or less","Some"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/381/
"Acta Cytologica","Acta Cytol","0001-5547","1938-2650","Karger Publishers","0370307","v.55(6);Dec 2011","v.55;2011","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Cytol%22%5Bjournal%5D
"Acta Haematologica","Acta Haematol","0001-5792","1421-9662","Karger Publishers","0141053","v.127(3);Mar 2012","v.121;2009","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Haematol%22%5Bjournal%5D
"Acta Histochemica et Cytochemica","Acta Histochem Cytochem","0044-5991","1347-5800","Japan Society of Histochemistry and Cytochemistry","0147110","v.50(2);Apr 27, 2017","v.39;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/385/
"Acta Informatica Medica","Acta Inform Med","0353-8109","1986-5988","Academy of Medical Sciences of Bosnia and Herzegovina, Sarajevo, Bosnia and Herzegovina","101147064","v.25(1);Mar 2017","v.16;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1933/
"Acta Medica Lituanica","Acta Med Litu","1392-0138","2029-4174","Lithuaniae Academia Scientiarum","9442465","v.23(4);2016","v.23;2016","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2943/
"Acta Myologica","Acta Myol","1128-2460","","Pacini Editore","9811169","v.35(3);Dec 2016","v.26;2007","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1221/
"Acta Naturae","Acta Naturae","2075-8251","","Park Media","101525823","v.9(1);Jan-Mar 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1351/
"Acta Neuropathologica Communications","Acta Neuropathol Commun","","2051-5960","BioMed Central","101610673","v.5;2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2200/
"Acta Orthopaedica","Acta Orthop","1745-3674","1745-3682","Taylor &#x0026; Francis","101231512","v.88(3);Jun 2017","v.80;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1106/
"Acta Ortopedica Brasileira","Acta Ortop Bras","1413-7852","1809-4406","Brazilian Society of Orthopedics and Traumatology","9804509","v.24(5);Sep-Oct 2016","v.20;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2147/
"Acta Otorhinolaryngologica Italica","Acta Otorhinolaryngol Ital","0392-100X","1827-675X","Pacini Editore","8213019","v.37(1);Feb 2017","v.25;2005","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/559/
"Acta Pharmaceutica Sinica. B","Acta Pharm Sin B","2211-3835","2211-3843","Elsevier","101600560","v.7(3);May 2017","v.4;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2814/
"Acta Pharmacologica Sinica","Acta Pharmacol Sin","1671-4083","1745-7254","Nature Publishing Group","100956087","v.38(4);Apr 2017","v.30;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2405/
"Acta Radiologica Open","Acta Radiol Open","","2058-4601","SAGE Publications","101651010","v.6(4);Apr 2017","v.4;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2704/
"Acta Radiologica Short Reports","Acta Radiol Short Rep","","2047-9816","SAGE Publications","101586067","v.4(1);Jan 2015","v.1;2012","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2160/
"Acta Stomatologica Croatica","Acta Stomatol Croat","0001-7019","1846-0410","University of Zagreb: School of Dental Medicine","0253456","v.50(4);Dec 2016","v.48;2014","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3005/
"Acta Veterinaria Scandinavica","Acta Vet Scand","0044-605X","1751-0147","BioMed Central","0370400","v.59;2017","v.42;2001","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/424/
"Addiction &#x0026; Health","Addict Health","2008-4633","2008-8469","Farzanegan Radandish Co.","101582275","v.8(3);Jul 2016","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2281/
"Addiction Science &#x0026; Clinical Practice","Addict Sci Clin Pract","1940-0632","1940-0640","BioMed Central","101316917","v.12;2017","v.4;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1002/
"Adipocyte","Adipocyte","2162-3945","2162-397X","Taylor &#x0026; Francis","101567863","v.6(1);2017","v.1;2012","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1988/
"Adolescent Health, Medicine and Therapeutics","Adolesc Health Med Ther","","1179-318X","Dove Press","101576821","v.8;2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2328/
"Advances and Applications in Bioinformatics and Chemistry : AABC","Adv Appl Bioinform Chem","","1178-6949","Dove Press","101550215","v.10;2017","v.1;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1575/
"Advances in Bioinformatics","Adv Bioinformatics","1687-8027","1687-8035","Hindawi Publishing Corporation","101515444","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/984/
"Advanced Biomedical Research","Adv Biomed Res","","2277-9175","Medknow Publications","101586897","v.6;2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1925/
"Advances in Cognitive Psychology","Adv Cogn Psychol","","1895-1171","University of Finance and Management in Warsaw","101283299","v.13(1);2017","v.3;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1206/
"Advances in Dental Research","Adv Dent Res","0895-9374","1544-0737","International and American Associations for Dental Research","8802131","v.28(1);Mar 2016","v.23;2011","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Dent+Res%22%5Bjournal%5D
"Advances in Hematology","Adv Hematol","1687-9104","1687-9112","Hindawi Publishing Corporation","101504271","v.2017;2017","v.2009;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/993/
"Advances in Medicine","Adv Med","2356-6752","2314-758X","Hindawi Publishing Corporation","101651448","v.2017;2017","v.2014;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2828/
"Advances in Medical Education and Practice","Adv Med Educ Pract","","1179-7258","Dove Press","101562700","v.8;2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2079/
"Advances in Nutrition","Adv Nutr","2161-8313","2156-5376","American Society for Nutrition","101540874","v.8(3);May 2017","v.1;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1420/
"Advances in Orthopedics","Adv Orthop","2090-3464","2090-3472","Hindawi Publishing Corporation","101565129","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1600/
"Advanced Pharmaceutical Bulletin","Adv Pharm Bull","2228-5881","2251-7308","Tabriz University of Medical Sciences","101578021","v.7(1);Apr 2017","v.1;2011","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2246/
"Advances in Pharmacological Sciences","Adv Pharmacol Sci","1687-6334","1687-6342","Hindawi Publishing Corporation","101537654","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1381/
"Advances in Physiology Education","Adv Physiol Educ","1043-4046","1522-1229","American Physiological Society","100913944","v.40(2);Jun 2016","v.33;2009","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Physiol+Educ%22%5Bjournal%5D
"Advances in Preventive Medicine","Adv Prev Med","2090-3480","2090-3499","Hindawi Publishing Corporation","101564961","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1599/
"Advanced Science","Adv Sci (Weinh)","","2198-3844","Wiley-Blackwell","101664569","v.4(5);May 2017","v.1;2014","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2933/
"Advances in Urology","Adv Urol","1687-6369","1687-6377","Hindawi Publishing Corporation","101476240","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/632/
"Advances in Virology","Adv Virol","1687-8639","1687-8647","Hindawi Publishing Corporation","101508613","v.2017;2017","v.2009;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1715/
"Advances in Wound Care","Adv Wound Care (New Rochelle)","2162-1918","2162-1934","Mary Ann Liebert, Inc.","101590593","v.6(5);May 1, 2017","v.1;2012","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Wound+Care+(New+Rochelle)%22%5Bjournal%5D
"The Aesculapian","Aesculapian","0898-1957","","Medical Library Association","14650100R","v.1(3-4);Jun 1909","v.1;1908","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/430/
"Aesthetic Surgery Journal","Aesthet Surg J","1090-820X","1527-330X","Oxford University Press","9707469","v.37(5);May 2017","v.35;2015","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Aesthet+Surg+J%22%5Bjournal%5D
"African Health Sciences","Afr Health Sci","1680-6905","1729-0503","Makerere University Medical School","101149451","v.16(4);Dec 2016","v.1;2001","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/378/
"African Journal of Infectious Diseases","Afr J Infect Dis","2006-0165","2505-0419","African Traditional Herbal Medicine Supporters Initiative","101578779","v.11(1);2017","v.4;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1848/
"African Journal of Paediatric Surgery: AJPS","Afr J Paediatr Surg","0189-6725","0974-5998","Medknow Publications","101255062","v.13(4);Oct-Dec 2016","v.12;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3011/
"African Journal of Primary Health Care &#x0026; Family Medicine","Afr J Prim Health Care Fam Med","2071-2928","2071-2936","AOSIS OpenJournals","101520860","v.9(1);2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2761/
"African Journal of Traditional, Complementary, and Alternative Medicines","Afr J Tradit Complement Altern Med","0189-6016","2505-0044","African Traditional Herbal Medicine Supporters Initiative","101232990","v.14(3);2017","v.4;2007","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/970/
"Age","Age (Dordr)","0161-9152","1574-4647","American Aging Association","101250497","v.38(5-6);Dec 2016","v.27;2005","12 months or less","Some"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/518/
"Age","Age (Omaha)","","","American Aging Association","7801686","v.22(4);Oct 1999","v.20;1997","12 months","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/1946/
"Age and Ageing","Age Ageing","0002-0729","1468-2834","Oxford University Press","0375655","v.46(3);May 2017","v.37;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Age+Ageing%22%5Bjournal%5D
"Aging (Albany NY)","Aging (Albany NY)","","1945-4589","Impact Journals, LLC","101508617","v.9(4);Apr 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1105/
"Aging Cell","Aging Cell","1474-9718","1474-9726","Wiley-Blackwell","101130839","v.16(3);Jun 2017","v.10;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2481/
"Aging and Disease","Aging Dis","","2152-5250","JKL International LLC","101540533","v.8(2);Apr 2017","v.1;2010","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1732/
"AIDS Patient Care and STDs","AIDS Patient Care STDS","1087-2914","1557-7449","Mary Ann Liebert, Inc.","9607225","v.31(5);May 1, 2017","v.22;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIDS+Patient+Care+STDS%22%5Bjournal%5D
"AIDS Research and Human Retroviruses","AIDS Res Hum Retroviruses","0889-2229","1931-8405","Mary Ann Liebert, Inc.","8709376","v.33(5);May 1, 2017","v.13;1997","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIDS+Res+Hum+Retroviruses%22%5Bjournal%5D
"AIDS Research and Therapy","AIDS Res Ther","","1742-6405","BioMed Central","101237921","v.14;2017","v.1;2004","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/306/
"AIDS Research and Treatment","AIDS Res Treat","2090-1240","2090-1259","Hindawi Publishing Corporation","101553816","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1487/
"AIP Advances","AIP Adv","","2158-3226","American Institute of Physics","101566109","v.7(5);May 2017","v.1;2011","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22AIP+Adv%22%5Bjournal%5D
"AJP Reports","AJP Rep","2157-6998","2157-7005","Thieme Medical Publishers","101569862","v.7(2);Apr 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2047/
"Alcohol and Alcoholism (Oxford, Oxfordshire)","Alcohol Alcohol","0735-0414","1464-3502","Oxford University Press","8310684","v.52(3);May 2017","v.43;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Alcohol+Alcohol%22%5Bjournal%5D
"Alcohol Research : Current Reviews","Alcohol Res","2168-3492","2169-4796","National Institute on Alcohol Abuse and Alcoholism","101594475","v.38(1);2016","v.34;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2195/
"Alcohol Research &#x0026; Health","Alcohol Res Health","1535-7414","1930-0573","National Institute on Alcohol Abuse and Alcoholism","100900708","v.34(2);2011","v.30;2007","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2223/
"Algorithms for Molecular Biology : AMB","Algorithms Mol Biol","","1748-7188","BioMed Central","101265088","v.12;2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/403/
"Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology","Allergy Asthma Clin Immunol","1710-1484","1710-1492","BioMed Central","101244313","v.13;2017","v.1;2005","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/992/
"Allergy, Asthma &#x0026; Immunology Research","Allergy Asthma Immunol Res","2092-7355","2092-7363","Korean Academy of Asthma, Allergy and Clinical Immunology and Korean Academy of Pediatric Allergy and Respiratory Disease","101518382","v.9(4);Jul 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1188/
"Allergy and Asthma Proceedings","Allergy Asthma Proc","1088-5412","1539-6304","OceanSide Publications","9603640","v.38(3);May-Jun 2017","v.33;2012","Immediate","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Allergy+Asthma+Proc%22%5Bjournal%5D
"Allergy &#x0026; Rhinology","Allergy Rhinol (Providence)","2152-6575","2152-6567","OceanSide Publications","101570968","v.8(1);Mar 2017","v.2;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1781/
"Alzheimer's &#x0026; Dementia : Diagnosis, Assessment &#x0026; Disease Monitoring","Alzheimers Dement (Amst)","","2352-8729","Elsevier","101654604","v.8;2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3002/
"Alzheimer's Research &#x0026; Therapy","Alzheimers Res Ther","","1758-9193","BioMed Central","101511643","v.9;2017","v.1;2009","0 months or more","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/943/
"American Health &#x0026; Drug Benefits","Am Health Drug Benefits","1942-2962","1942-2970","Engage Healthcare Communications, LLC","101479877","v.10(1);Feb 2017","v.1;2008","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2442/
"American Journal of Audiology","Am J Audiol","1059-0889","1558-9137","American Speech-Language-Hearing Association","9114917","v.25(4);Dec 2016","v.24;2015","6 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Audiol%22%5Bjournal%5D
"American Journal of Blood Research","Am J Blood Res","","2160-1992","e-Century Publishing Corporation","101569577","v.7(2);2017","v.1;2011","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1738/
"American Journal of Cancer Research","Am J Cancer Res","","2156-6976","e-Century Publishing Corporation","101549944","v.7(5);2017","v.1;2011","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1608/
"American Journal of Cardiovascular Disease","Am J Cardiovasc Dis","","2160-200X","e-Century Publishing Corporation","101569582","v.7(2);2017","v.1;2011","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1695/
"The American Journal of Case Reports","Am J Case Rep","","1941-5923","International Scientific Literature, Inc.","101489566","v.18;2017","v.13;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2001/
"American Journal of Clinical and Experimental Immunology","Am J Clin Exp Immunol","","2164-7712","e-Century Publishing Corporation","101587157","v.6(2);2017","v.1;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2149/
"American Journal of Clinical and Experimental Urology","Am J Clin Exp Urol","","2330-1910","e-Century Publishing Corporation","101634566","v.5(1);2017","v.1;2013","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2623/
"The American Journal of Clinical Nutrition","Am J Clin Nutr","0002-9165","1938-3207","American Society for Nutrition","0376027","v.105(4);Apr 2017","v.88;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Clin+Nutr%22%5Bjournal%5D
"American Journal of Clinical Pathology","Am J Clin Pathol","0002-9173","1943-7722","Oxford University Press","0370470","v.147(5);May 2017","v.145;2016","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Clin+Pathol%22%5Bjournal%5D
"American Journal of Epidemiology","Am J Epidemiol","0002-9262","1476-6256","Oxford University Press","7910653","v.185(10);May 15, 2017","v.167;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Epidemiol%22%5Bjournal%5D
"American Journal of Human Genetics","Am J Hum Genet","0002-9297","1537-6605","American Society of Human Genetics","0370475","v.100(5);May 4, 2017","v.1;1949","6 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/203/
"American Journal of Hypertension","Am J Hypertens","0895-7061","1941-7225","Oxford University Press","8803676","v.30(2);Feb 2017","v.23;2010","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Hypertens%22%5Bjournal%5D
"American Journal of Nephrology","Am J Nephrol","0250-8095","1421-9670","Karger Publishers","8109361","v.35(4);May 2012","v.28;2008","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Nephrol%22%5Bjournal%5D
"American Journal of Neurodegenerative Disease","Am J Neurodegener Dis","","2165-591X","e-Century Publishing Corporation","101585753","v.6(1);2017","v.1;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1989/
"American Journal of Nuclear Medicine and Molecular Imaging","Am J Nucl Med Mol Imaging","","2160-8407","e-Century Publishing Corporation","101564121","v.7(2);2017","v.1;2011","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1918/
"The American Journal of Occupational Therapy","Am J Occup Ther","0272-9490","1943-7676","American Occupational Therapy Association/AOTA Press","7705978","v.71(3);May-Jun 2017","v.67;2013","Immediate","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Occup+Ther%22%5Bjournal%5D
"The American Journal of Pathology","Am J Pathol","0002-9440","1525-2191","American Society for Investigative Pathology","0370502","v.187(5);May 2017","v.1;1925","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Am+J+Pathol%22%5Bjournal%5D
"American Journal of Pharmaceutical Education","Am J Pharm Educ","0002-9459","1553-6467","American Association of Colleges of Pharmacy","0372650","v.81(3);Apr 2017","v.70;2006","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/383/
