JournalTitle,MedAbbr,NlmId,ImpactFactor
Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,7505876,9.423
Progress in retinal and eye research,Prog Retin Eye Res,9431859,9.394
Mass spectrometry reviews,Mass Spectrom Rev,8219702,9.346
Developmental cell,Dev Cell,101120028,9.338
Epidemiologic reviews,Epidemiol Rev,7910703,9.333
Journal of pineal research,J Pineal Res,8504412,9.314
Annual review of phytopathology,Annu Rev Phytopathol,0372373,9.308
ACS catalysis,ACS Catal,101562209,9.307
Trends in molecular medicine,Trends Mol Med,100966035,9.292
Nucleic acids research,Nucleic Acids Res,0411011,9.202
Cold Spring Harbor perspectives in biology,Cold Spring Harb Perspect Biol,101513680,9.173
Chemical science,Chem Sci,101545951,9.144
Medicinal research reviews,Med Res Rev,8103150,9.135
Autophagy,Autophagy,101265188,9.108
Materials horizons,Mater Horiz,101623537,9.095
Microbiome,Microbiome,101615147,9
Health psychology review,Health Psychol Rev,101299723,8.976
Arthritis and rheumatism,Arthritis Rheum,0370605,8.955
Diabetes care,Diabetes Care,7805975,8.934
Nano research,Nano Res,101518856,8.893
Critical reviews in biochemistry and molecular biology,Crit Rev Biochem Mol Biol,8903774,8.867
Theranostics,Theranostics,101552395,8.854
Frontiers in neuroendocrinology,Front Neuroendocrinol,7513292,8.852
Current opinion in cell biology,Curr Opin Cell Biol,8913428,8.851
Diabetes,Diabetes,0372763,8.784
NPG Asia materials,NPG Asia Mater,101681589,8.772
PLoS biology,PLoS Biol,101183755,8.668
Particle and fibre toxicology,Part Fibre Toxicol,101236354,8.649
Physics of life reviews,Phys Life Rev,101229718,8.615
Neuroscience and biobehavioral reviews,Neurosci Biobehav Rev,7806090,8.58
Annals of surgery,Ann Surg,0372354,8.569
Cancer research,Cancer Res,2984705R,8.556
The Plant cell,Plant Cell,9208688,8.538
Frontiers in ecology and the environment,Front Ecol Environ,101513792,8.504
Autoimmunity reviews,Autoimmun Rev,101128967,8.49
Seminars in immunology,Semin Immunol,9009458,8.461
Global change biology,Glob Chang Biol,9888746,8.444
Environmental health perspectives,Environ Health Perspect,0330411,8.443
Briefings in bioinformatics,Brief Bioinform,100912837,8.399
Biomaterials,Biomaterials,8100316,8.387
The lancet. HIV,Lancet HIV,101645355,8.364
Annual review of genomics and human genetics,Annu Rev Genomics Hum Genet,100911346,8.347
"Small (Weinheim an der Bergstrasse, Germany)",Small,101235338,8.315
Current opinion in biotechnology,Curr Opin Biotechnol,9100492,8.314
eLife,Elife,101579614,8.282
JAMA neurology,JAMA Neurol,101589536,8.23
Systematic biology,Syst Biol,9302532,8.225
Cell death and differentiation,Cell Death Differ,9437445,8.218
Metabolic engineering,Metab Eng,9815657,8.201
Critical reviews in microbiology,Crit Rev Microbiol,8914274,8.192
Neurology,Neurology,0401060,8.166
Clinical psychology review,Clin Psychol Rev,8111117,8.146
Thorax,Thorax,0417353,8.121
Ecological monographs,Ecol Monogr,0266236,8.037
BMC medicine,BMC Med,101190723,8.005
National science review,Natl Sci Rev,101633095,8
Cancer treatment reviews,Cancer Treat Rev,7502030,7.983
Oncogene,Oncogene,8711562,7.932
Bulletin of the American Meteorological Society,Bull Am Meteorol Soc,101683720,7.929
Nanotoxicology,Nanotoxicology,101233132,7.913
Cell reports,Cell Rep,101573691,7.87
Advances in colloid and interface science,Adv Colloid Interface Sci,8706645,7.813
Annual review of earth and planetary sciences,Annu Rev Earth Planet Sci,100971465,7.81
Journal of internal medicine,J Intern Med,8904841,7.803
Journal of autoimmunity,J Autoimmun,8812164,7.76
Nanoscale,Nanoscale,101525249,7.76
Schizophrenia bulletin,Schizophr Bull,0236760,7.757
EMBO reports,EMBO Rep,100963049,7.739
Kidney international,Kidney Int,0323470,7.683
Physical review letters,Phys Rev Lett,0401141,7.645
Oncoimmunology,Oncoimmunology,101570526,7.644
Current opinion in chemical biology,Curr Opin Chem Biol,9811312,7.643
Psychotherapy and psychosomatics,Psychother Psychosom,0024046,7.632
Psychological review,Psychol Rev,0376476,7.581
Progress in surface science,Prog Surf Sci,0417756,7.579
Ageing research reviews,Ageing Res Rev,101128963,7.526
International journal of epidemiology,Int J Epidemiol,7802871,7.522
Critical reviews in biotechnology,Crit Rev Biotechnol,8505177,7.51
Laser & photonics reviews,Laser Photon Rev,101513682,7.486
Biosensors & bioelectronics,Biosens Bioelectron,9001289,7.476
GigaScience,Gigascience,101596872,7.463
Clinical chemistry,Clin Chem,9421549,7.457
Critical care medicine,Crit Care Med,0355501,7.422
Aldrichimica acta,Aldrichimica Acta,0371157,7.417
Neuro-oncology,Neuro Oncol,100887420,7.371
Progress in photovoltaics,Prog Photovolt,101661815,7.365
Science signaling,Sci Signal,101465400,7.359
Journal of catalysis,J Catal,0374756,7.354
Sleep medicine reviews,Sleep Med Rev,9804678,7.341
Trends in parasitology,Trends Parasitol,100966034,7.295
"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",Neuroscientist,9504819,7.295
Space science reviews,Space Sci Rev,100971458,7.242
Progress in nuclear magnetic resonance spectroscopy,Prog Nucl Magn Reson Spectrosc,9886009,7.231
Quarterly reviews of biophysics,Q Rev Biophys,0144032,7.222
Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry,8704565,7.182
ACS applied materials & interfaces,ACS Appl Mater Interfaces,101504991,7.145
Molecular plant,Mol Plant,101465514,7.142
Current opinion in immunology,Curr Opin Immunol,8900118,7.126
Conservation letters,Conserv Lett,101632486,7.126
ChemSusChem,ChemSusChem,101319536,7.116
European journal of epidemiology,Eur J Epidemiol,8508062,7.105
Antioxidants & redox signaling,Antioxid Redox Signal,100888899,7.093
Advances in immunology,Adv Immunol,0370425,7.064
Kidney international supplements,Kidney Int Suppl (2011),101562008,7.026
Stem cell reports,Stem Cell Reports,101611300,7.023
PLoS pathogens,PLoS Pathog,101238921,7.003
Emerging infectious diseases,Emerg Infect Dis,9508155,6.994
Fungal diversity,Fungal Divers,100955518,6.991
Earth-science reviews,Earth Sci Rev,101670262,6.991
mBio,MBio,101519231,6.975
BMC biology,BMC Biol,101190720,6.967
Annual review of food science and technology,Annu Rev Food Sci Technol,101561951,6.95
Radiology,Radiology,0401260,6.798
Annual review of nutrition,Annu Rev Nutr,8209988,6.784
Current opinion in plant biology,Curr Opin Plant Biol,100883395,6.78
Ophthalmology,Ophthalmology,7802443,6.75
Organic letters,Org Lett,100890393,6.732
British journal of sports medicine,Br J Sports Med,0432520,6.724
Canadian Medical Association journal,Can Med Assoc J,0414110,6.724
Psychological inquiry,Psychol Inq,9010521,6.714
Current opinion in structural biology,Curr Opin Struct Biol,9107784,6.713
Haematologica,Haematologica,0417435,6.671
IEEE signal processing magazine,IEEE Signal Process Mag,101212681,6.671
Cancer immunology research,Cancer Immunol Res,101614637,6.665
PLoS genetics,PLoS Genet,101239074,6.661
Archives of toxicology,Arch Toxicol,0417615,6.637
Blood reviews,Blood Rev,8708558,6.627
Journal of the American Medical Directors Association,J Am Med Dir Assoc,100893243,6.616
Journal of economic literature,J Econ Lit,0206650,6.614
Cytokine & growth factor reviews,Cytokine Growth Factor Rev,9612306,6.571
Molecular neurodegeneration,Mol Neurodegener,101266600,6.51
Journal of molecular cell biology,J Mol Cell Biol,101503669,6.459
Advanced synthesis & catalysis,Adv Synth Catal,101095751,6.453
Biotechnology for biofuels,Biotechnol Biofuels,101316935,6.444
Journal of advances in modeling earth systems,J Adv Model Earth Syst,101691496,6.417
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Neuropsychopharmacology,8904907,6.399
Seminars in immunopathology,Semin Immunopathol,101308769,6.394
Current opinion in neurobiology,Curr Opin Neurobiol,9111376,6.373
Comprehensive Physiology,Compr Physiol,101574442,6.364
"Hypertension (Dallas, Tex. : 1979)",Hypertension,7906255,6.35
Methods in ecology and evolution,Methods Ecol Evol,101539246,6.344
Allergy,Allergy,7804028,6.335
Journal of power sources,J Power Sources,101524266,6.333
Tobacco control,Tob Control,9209612,6.321
Alimentary pharmacology & therapeutics,Aliment Pharmacol Ther,8707234,6.32
Plant physiology,Plant Physiol,0401224,6.28
Journal of hematology & oncology,J Hematol Oncol,101468937,6.263
Journal of the International AIDS Society,J Int AIDS Soc,101478566,6.256
Redox biology,Redox Biol,101605639,6.235
Current opinion in microbiology,Curr Opin Microbiol,9815056,6.234
Current opinion in colloid & interface science,Curr Opin Colloid Interface Sci,9614964,6.234
Gastrointestinal endoscopy,Gastrointest Endosc,0010505,6.217
Diabetologia,Diabetologia,0006777,6.206
Carbon,Carbon N Y,101204394,6.198
European journal of cancer,Eur J Cancer,0074126,6.163
Advances in experimental social psychology,Adv Exp Soc Psychol,0064143,6.15
Chest,Chest,0231335,6.136
Soft robotics,Soft Robot,101623819,6.13
Acta psychiatrica Scandinavica,Acta Psychiatr Scand,0370364,6.128
Mucosal immunology,Mucosal Immunol,101299742,6.103
International reviews in physical chemistry,Int Rev Phys Chem,101597470,6.094
Plant biotechnology journal,Plant Biotechnol J,101201889,6.09
International journal of neural systems,Int J Neural Syst,9100527,6.085
IEEE transactions on pattern analysis and machine intelligence,IEEE Trans Pattern Anal Mach Intell,9885960,6.077
ACS synthetic biology,ACS Synth Biol,101575075,6.076
"Epidemiology (Cambridge, Mass.)",Epidemiology,9009644,6.075
Neuropsychology review,Neuropsychol Rev,9009029,6.061
MRS bulletin,MRS Bull,100971398,6.06
"Development (Cambridge, England)",Development,8701744,6.059
Cephalalgia : an international journal of headache,Cephalalgia,8200710,6.052
Journal of management,J Manage,9880068,6.051
Basic research in cardiology,Basic Res Cardiol,0360342,6.038
Acta biomaterialia,Acta Biomater,101233144,6.008
Glia,Glia,8806785,5.997
Cancer letters,Cancer Lett,7600053,5.992
Water research,Water Res,0105072,5.991
Human molecular genetics,Hum Mol Genet,9208958,5.985
Surface science reports,Surf Sci Rep,101550866,5.95
Molecular ecology,Mol Ecol,9214478,5.947
Environmental microbiology,Environ Microbiol,100883692,5.932
Environment international,Environ Int,7807270,5.929
Mayo Clinic proceedings,Mayo Clin Proc,0405543,5.92
"Stem cells (Dayton, Ohio)",Stem Cells,9304532,5.902
Stem cells,Stem Cells,8110002,5.902
Molecular cancer,Mol Cancer,101147698,5.888
Analytical chemistry,Anal Chem,0370536,5.886
Remote sensing of environment,Remote Sens Environ,101572538,5.881
Genome medicine,Genome Med,101475844,5.846
British journal of haematology,Br J Haematol,0372544,5.812
Brain structure & function,Brain Struct Funct,101282001,5.811
Stroke,Stroke,0235266,5.787
Current opinion in genetics & development,Curr Opin Genet Dev,9111375,5.784
Chemistry & biology,Chem Biol,9500160,5.774
"Bioinformatics (Oxford, England)",Bioinformatics,9808944,5.766
ACS macro letters,ACS Macro Lett,101574672,5.766
Aging cell,Aging Cell,101130839,5.76
Advanced healthcare materials,Adv Healthc Mater,101581613,5.76
The lancet. Psychiatry,Lancet Psychiatry,101638123,5.756
Applied energy,Appl Energy,101121743,5.746
Persoonia,Persoonia,19540520R,5.725
Expert reviews in molecular medicine,Expert Rev Mol Med,100939725,5.71
Frontiers in immunology,Front Immunol,101560960,5.695
Heart (British Cardiac Society),Heart,9602087,5.693
Contact dermatitis,Contact Dermatitis,7604950,5.692
Educational psychologist,Educ Psychol,0412727,5.688
Polymer chemistry,Polym Chem,101562526,5.687
Journal of experimental botany,J Exp Bot,9882906,5.677
Seminars in liver disease,Semin Liver Dis,8110297,5.667
JAMA surgery,JAMA Surg,101589553,5.661
Obstetrics and gynecology,Obstet Gynecol,0401101,5.656
Journal of medical genetics,J Med Genet,2985087R,5.65
Cancer,Cancer,0374236,5.649
Endoscopy,Endoscopy,0215166,5.634
Drug discovery today,Drug Discov Today,9604391,5.625
Journal of the American Academy of Dermatology,J Am Acad Dermatol,7907132,5.621
Earth's future,Earths Future,101637948,5.62
British journal of anaesthesia,Br J Anaesth,0372541,5.616
Epilepsy currents,Epilepsy Curr,101135954,5.615
Nutrition reviews,Nutr Rev,0376405,5.591
Journal of medicinal chemistry,J Med Chem,9716531,5.589
Lab on a chip,Lab Chip,101128948,5.586
Biomacromolecules,Biomacromolecules,100892849,5.583
Molecular cancer therapeutics,Mol Cancer Ther,101132535,5.579
British journal of cancer,Br J Cancer,0370635,5.569
Pain,Pain,7508686,5.557
Journal of membrane science,J Memb Sci,7606202,5.557
Anesthesiology,Anesthesiology,1300217,5.555
Macromolecules,Macromolecules,0365316,5.554
Current directions in psychological science,Curr Dir Psychol Sci,9211588,5.545
Journal of abnormal psychology,J Abnorm Psychol,0034461,5.538
Translational psychiatry,Transl Psychiatry,101562664,5.538
European journal of nuclear medicine and molecular imaging,Eur J Nucl Med Mol Imaging,101140988,5.537
International journal of cancer,Int J Cancer,0042124,5.531
Critical reviews in food science and nutrition,Crit Rev Food Sci Nutr,8914818,5.492
Psychological medicine,Psychol Med,1254142,5.491
Psychological science,Psychol Sci,9007542,5.476
Cardiovascular research,Cardiovasc Res,0077427,5.465
NeuroImage,Neuroimage,9215515,5.463
Expert opinion on drug delivery,Expert Opin Drug Deliv,101228421,5.434
Critical reviews in toxicology,Crit Rev Toxicol,8914275,5.422
Virulence,Virulence,101531386,5.418
Resuscitation,Resuscitation,0332173,5.414
ACS photonics,ACS Photonics,101634366,5.404
Molecular neurobiology,Mol Neurobiol,8900963,5.397
Environmental science & technology,Environ Sci Technol,0213155,5.393
Cell death & disease,Cell Death Dis,101524092,5.378
Critical reviews in therapeutic drug carrier systems,Crit Rev Ther Drug Carrier Syst,8511159,5.367
Molecular oncology,Mol Oncol,101308230,5.367
Molecular metabolism,Mol Metab,101605730,5.363
Advanced optical materials,Adv Opt Mater,101661727,5.359
Ecography,Ecography (Cop.),101187590,5.355
International journal of obesity,Int J Obes,7703240,5.337
Current opinion in lipidology,Curr Opin Lipidol,9010000,5.336
Administrative science quarterly,Adm Sci Q,0240207,5.316
IUCrJ,IUCrJ,101623101,5.316
Clinical reviews in allergy & immunology,Clin Rev Allergy Immunol,9504368,5.313
Current opinion in virology,Curr Opin Virol,101560941,5.313
Journal of chemical theory and computation,J Chem Theory Comput,101232704,5.301
Molecular ecology resources,Mol Ecol Resour,101465604,5.298
Bulletin of the World Health Organization,Bull World Health Organ,7507052,5.296
Catalysis science & technology,Catal Sci Technol,101636664,5.287
ACS sustainable chemistry & engineering,ACS Sustain Chem Eng,101608852,5.267
British journal of pharmacology,Br J Pharmacol,7502536,5.259
Thrombosis and haemostasis,Thromb Haemost,7608063,5.255
ACM computing surveys,ACM Comput Surv,9875115,5.243
"Structure (London, England : 1993)",Structure,101087697,5.237
Review of educational research,Rev Educ Res,20130240R,5.235
Health affairs,Health Aff,0351302,5.23
Scientific reports,Sci Rep,101563288,5.228
Journal of memory and language,J Mem Lang,8606159,5.218
Frontiers in cellular and infection microbiology,Front Cell Infect Microbiol,101585359,5.218
Annual review of chemical and biomolecular engineering,Annu Rev Chem Biomol Eng,101574034,5.211
Functional ecology,Funct Ecol,101479393,5.21
Optica,Optica,101643595,5.205
Pediatrics,Pediatrics,0376422,5.196
Cellular & molecular immunology,Cell Mol Immunol,101242872,5.193
Seminars in cell & developmental biology,Semin Cell Dev Biol,9607332,5.181
Annual review of environment and resources,Annu Rev Environ Resour,101171970,5.167
Progress in human geography,Prog Hum Geogr,101084355,5.162
Frontiers in molecular neuroscience,Front Mol Neurosci,101477914,5.154
Neurobiology of aging,Neurobiol Aging,8100437,5.153
Trends in food science & technology,Trends Food Sci Technol,9426004,5.15
Human genetics,Hum Genet,7613873,5.138
European journal of heart failure,Eur J Heart Fail,100887595,5.135
Journal of the American Heart Association,J Am Heart Assoc,101580524,5.117
Atmospheric chemistry and physics,Atmos Chem Phys,101214388,5.114
Current opinion in solid state & materials science,Curr Opin Solid State Mater Sci,101568837,5.111
Social cognitive and affective neuroscience,Soc Cogn Affect Neurosci,101288795,5.101
JAMA dermatology,JAMA Dermatol,101589530,5.097
Biochemical pharmacology,Biochem Pharmacol,0101032,5.091
ACS chemical biology,ACS Chem Biol,101282906,5.09
Human mutation,Hum Mutat,9215429,5.089
Reviews in endocrine & metabolic disorders,Rev Endocr Metab Disord,100940588,5.088
Annals of family medicine,Ann Fam Med,101167762,5.087
Journal of hypertension,J Hypertens,8306882,5.062
Acta materialia,Acta Mater,101469696,5.058
American journal of epidemiology,Am J Epidemiol,7910653,5.036
Oncogenesis,Oncogenesis,101580004,5.021
Clinical science,Clin Sci,0367732,5.016
Annals of emergency medicine,Ann Emerg Med,8002646,5.008
Oncotarget,Oncotarget,101532965,5.008
Depression and anxiety,Depress Anxiety,9708816,5.004
American journal of hematology,Am J Hematol,7610369,5
Psychological methods,Psychol Methods,9606928,5
Contemporary physics,Contemp Phys,16410390R,5
BMJ quality & safety,BMJ Qual Saf,101546984,4.996
Integrated computer-aided engineering,Integr Comput Aided Eng,101544483,4.981
"Addiction (Abingdon, England)",Addiction,9304118,4.972
Human brain mapping,Hum Brain Mapp,9419065,4.962
Molecular autism,Mol Autism,101534222,4.961
Journal of cleaner production,J Clean Prod,101538287,4.959
Cladistics : the international journal of the Willi Hennig Society,Cladistics,9881057,4.952
Monthly notices of the Royal Astronomical Society,Mon Not R Astron Soc,100954591,4.952
Critical care,Crit Care,8208625,4.95
Periodontology 2000,Periodontol 2000,9313276,4.949
Stanford law review,Stanford Law Rev,7703790,4.944
IEEE transactions on cybernetics,IEEE Trans Cybern,101609393,4.943
Journal of cellular and molecular medicine,J Cell Mol Med,101083777,4.938
Neuropharmacology,Neuropharmacology,0236217,4.936
Bioresource technology,Bioresour Technol,9889523,4.917
CNS drugs,CNS Drugs,9431220,4.91
Antiviral research,Antiviral Res,8109699,4.909
Journal of clinical lipidology,J Clin Lipidol,101300157,4.906
Comprehensive reviews in food science and food safety,Compr Rev Food Sci Food Saf,101305205,4.903
"Nanomedicine : nanotechnology, biology, and medicine",Nanomedicine,101233142,4.889
Investigative radiology,Invest Radiol,0045377,4.887
Drugs,Drugs,7600076,4.883
Bipolar disorders,Bipolar Disord,100883596,4.882
Carcinogenesis,Carcinogenesis,8008055,4.874
Journal of molecular and cellular cardiology,J Mol Cell Cardiol,0262322,4.874
Epigenetics & chromatin,Epigenetics Chromatin,101471619,4.873
Cold Spring Harbor perspectives in medicine,Cold Spring Harb Perspect Med,101571139,4.866
Neurobiology of disease,Neurobiol Dis,9500169,4.856
IEEE transactions on neural networks and learning systems,IEEE Trans Neural Netw Learn Syst,101616214,4.854
Journal of climate,J Clim,100971607,4.85
Drug delivery,Drug Deliv,9417471,4.843
Environmental science & technology letters,Environ Sci Technol Lett,101628367,4.839
Journal of hazardous materials,J Hazard Mater,9422688,4.836
Advances in parasitology,Adv Parasitol,0370435,4.829
Clinical pharmacokinetics,Clin Pharmacokinet,7606849,4.829
Open biology,Open Biol,101580419,4.822
Inorganic chemistry,Inorg Chem,0366543,4.82
Pharmacological research,Pharmacol Res,8907422,4.816
Critical reviews in plant sciences,CRC Crit Rev Plant Sci,9889759,4.81
Electrochimica acta,Electrochim Acta,9875994,4.803
Energy conversion and management,Energy Convers Manag,101598654,4.801
Expert opinion on therapeutic targets,Expert Opin Ther Targets,101127833,4.798
Journal of stroke,J Stroke,101602023,4.795
Sleep,Sleep,7809084,4.793
Brain stimulation,Brain Stimul,101465726,4.793
The oncologist,Oncologist,9607837,4.789
Applied mechanics reviews,Appl Mech Rev,101626553,4.784
Criminology : an interdisciplinary journal,Criminology,0263125,4.778
Epigenetics,Epigenetics,101265293,4.774
Current opinion in pharmacology,Curr Opin Pharmacol,100966133,4.769
Advances in cancer research,Adv Cancer Res,0370416,4.754
Journal of personality and social psychology,J Pers Soc Psychol,0014171,4.736
Ecology,Ecology,0043541,4.733
Organizational research methods,Organ Res Methods,101649002,4.727
"BioEssays : news and reviews in molecular, cellular and developmental biology",Bioessays,8510851,4.725
ChemCatChem,ChemCatChem,101520610,4.724
Molecular carcinogenesis,Mol Carcinog,8811105,4.722
Journal of consulting and clinical psychology,J Consult Clin Psychol,0136553,4.713
Analytica chimica acta,Anal Chim Acta,0370534,4.712
Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med,101308490,4.71
IEEE transactions on industrial informatics,IEEE Trans Industr Inform,101568906,4.708
Climate dynamics,Clim Dyn,101625237,4.708
Epilepsia,Epilepsia,2983306R,4.706
Journal of cell science,J Cell Sci,0052457,4.706
Psychoneuroendocrinology,Psychoneuroendocrinology,7612148,4.704
