JournalTitle,MedAbbr,NlmId,ImpactFactor
Journal of pineal research,J Pineal Res,8504412,10.391
Nature plants,Nat Plants,101651677,10.3
Brain : a journal of neurology,Brain,0372537,10.292
JAMA pediatrics,JAMA Pediatr,101589544,10.251
Annual review of public health,Annu Rev Public Health,8006431,10.228
Nucleic acids research,Nucleic Acids Res,0411011,10.162
Nature protocols,Nat Protoc,101284307,10.032
JAMA neurology,JAMA Neurol,101589536,10.029
Current opinion in cell biology,Curr Opin Cell Biol,8913428,9.937
Annals of neurology,Ann Neurol,7707449,9.89
The lancet. HIV,Lancet HIV,101645355,9.842
PLoS biology,PLoS Biol,101183755,9.797
Annual review of earth and planetary sciences,Annu Rev Earth Planet Sci,100971465,9.78
Environmental health perspectives,Environ Health Perspect,0330411,9.776
Molecular systems biology,Mol Syst Biol,101235389,9.75
Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,7505876,9.661
IEEE signal processing magazine,IEEE Signal Process Mag,101212681,9.654
Immunological reviews,Immunol Rev,7702118,9.614
Seminars in immunology,Semin Immunol,9009458,9.611
Ecology letters,Ecol Lett,101121949,9.449
Journal of statistical software,J Stat Softw,101307056,9.436
Frontiers in neuroendocrinology,Front Neuroendocrinol,7513292,9.425
Annual review of microbiology,Annu Rev Microbiol,0372370,9.415
Genes & development,Genes Dev,8711660,9.413
Mass spectrometry reviews,Mass Spectrom Rev,8219702,9.373
Bone research,Bone Res,101608652,9.326
Current opinion in biotechnology,Curr Opin Biotechnol,9100492,9.294
EMBO molecular medicine,EMBO Mol Med,101487380,9.249
Developmental cell,Dev Cell,101120028,9.174
NPG Asia materials,NPG Asia Mater,101681589,9.157
Seminars in cancer biology,Semin Cancer Biol,9010218,9.141
Cancer research,Cancer Res,2984705R,9.122
Annual review of nutrition,Annu Rev Nutr,8209988,9.054
American journal of human genetics,Am J Hum Genet,0370475,9.025
Annals of surgery,Ann Surg,0372354,8.98
Psychotherapy and psychosomatics,Psychother Psychosom,0024046,8.964
Autoimmunity reviews,Autoimmun Rev,101128967,8.961
Sleep medicine reviews,Sleep Med Rev,9804678,8.958
Systematic biology,Syst Biol,9302532,8.917
Clinical psychology review,Clin Psychol Rev,8111117,8.897
National science review,Natl Sci Rev,101633095,8.843
Molecular plant,Mol Plant,101465514,8.827
Cold Spring Harbor perspectives in biology,Cold Spring Harb Perspect Biol,101513680,8.769
Medicinal research reviews,Med Res Rev,8103150,8.763
Ecological monographs,Ecol Monogr,0266236,8.759
Annual review of genetics,Annu Rev Genet,0117605,8.745
Theranostics,Theranostics,101552395,8.712
The Plant cell,Plant Cell,9208688,8.688
Diabetes,Diabetes,0372763,8.684
Chemical science,Chem Sci,101545951,8.668
Soft robotics,Soft Robot,101623819,8.649
"Small (Weinheim an der Bergstrasse, Germany)",Small,101235338,8.643
Progress in surface science,Prog Surf Sci,0417756,8.619
Autophagy,Autophagy,101265188,8.593
Cancer treatment reviews,Cancer Treat Rev,7502030,8.589
Particle and fibre toxicology,Part Fibre Toxicol,101236354,8.577
EMBO reports,EMBO Rep,100963049,8.568
Global change biology,Glob Chang Biol,9888746,8.502
Microbiome,Microbiome,101615147,8.496
Physical review letters,Phys Rev Lett,0401141,8.462
Laser & photonics reviews,Laser Photon Rev,101513682,8.434
Cell systems,Cell Syst,101656080,8.406
Biomaterials,Biomaterials,8100316,8.402
Kidney international,Kidney Int,0323470,8.395
Current opinion in immunology,Curr Opin Immunol,8900118,8.384
Cell death and differentiation,Cell Death Differ,9437445,8.339
IEEE transactions on pattern analysis and machine intelligence,IEEE Trans Pattern Anal Mach Intell,9885960,8.329
Neuroscience and biobehavioral reviews,Neurosci Biobehav Rev,7806090,8.299
Cancer immunology research,Cancer Immunol Res,101614637,8.284
Cell reports,Cell Rep,101573691,8.282
Thorax,Thorax,0417353,8.272
Emerging infectious diseases,Emerg Infect Dis,9508155,8.222
International journal of computer vision,Int J Comput Vis,101189508,8.222
Ophthalmology,Ophthalmology,7802443,8.204
Aldrichimica acta,Aldrichimica Acta,0371157,8.182
Progress in cardiovascular diseases,Prog Cardiovasc Dis,0376442,8.177
Metabolic engineering,Metab Eng,9815657,8.142
Frontiers in ecology and the environment,Front Ecol Environ,101513792,8.039
Clinical chemistry,Clin Chem,9421549,8.008
JAMA surgery,JAMA Surg,101589553,7.956
Applied mechanics reviews,Appl Mech Rev,101626553,7.921
BMC medicine,BMC Med,101190723,7.901
Current opinion in chemical biology,Curr Opin Chem Biol,9811312,7.889
Liver cancer,Liver Cancer,101597993,7.854
Neuro-oncology,Neuro Oncol,100887420,7.786
Biosensors & bioelectronics,Biosens Bioelectron,9001289,7.78
International journal of epidemiology,Int J Epidemiol,7802871,7.738
Journal of management,J Manage,9880068,7.733
Optica,Optica,101643595,7.727
eLife,Elife,101579614,7.725
Oncoimmunology,Oncoimmunology,101570526,7.719
Haematologica,Haematologica,0417435,7.702
Journal of autoimmunity,J Autoimmun,8812164,7.641
Psychological review,Psychol Rev,0376476,7.638
Exercise immunology review,Exerc Immunol Rev,9505535,7.6
Journal of internal medicine,J Intern Med,8904841,7.598
Neurology,Neurology,0401060,7.592
Annual review of genomics and human genetics,Annu Rev Genomics Hum Genet,100911346,7.579
Schizophrenia bulletin,Schizophr Bull,0236760,7.575
Oncogene,Oncogene,8711562,7.519
Persoonia,Persoonia,19540520R,7.511
ACS applied materials & interfaces,ACS Appl Mater Interfaces,101504991,7.504
Space science reviews,Space Sci Rev,100971458,7.497
ACS central science,ACS Cent Sci,101660035,7.481
Mucosal immunology,Mucosal Immunol,101299742,7.478
Ageing research reviews,Ageing Res Rev,101128963,7.452
Plant biotechnology journal,Plant Biotechnol J,101201889,7.443
"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",Neuroscientist,9504819,7.391
IEEE transactions on cybernetics,IEEE Trans Cybern,101609393,7.384
Nanoscale,Nanoscale,101525249,7.367
Allergy,Allergy,7804028,7.361
Current opinion in plant biology,Curr Opin Plant Biol,100883395,7.357
Nano research,Nano Res,101518856,7.354
Stem cell reports,Stem Cell Reports,101611300,7.338
Molecular ecology resources,Mol Ecol Resour,101465604,7.332
Annual review of food science and technology,Annu Rev Food Sci Technol,101561951,7.31
"Bioinformatics (Oxford, England)",Bioinformatics,9808944,7.307
Radiology,Radiology,0401260,7.296
Alimentary pharmacology & therapeutics,Aliment Pharmacol Ther,8707234,7.286
Bulletin of the American Meteorological Society,Bull Am Meteorol Soc,101683720,7.281
European journal of nuclear medicine and molecular imaging,Eur J Nucl Med Mol Imaging,101140988,7.277
Health psychology review,Health Psychol Rev,101299723,7.241
IEEE network,IEEE Netw,100971621,7.23
European journal of epidemiology,Eur J Epidemiol,8508062,7.226
ChemSusChem,ChemSusChem,101319536,7.226
Advances in colloid and interface science,Adv Colloid Interface Sci,8706645,7.223
Applied energy,Appl Energy,101121743,7.182
Epidemiologic reviews,Epidemiol Rev,7910703,7.16
Environment international,Environ Int,7807270,7.088
Genome medicine,Genome Med,101475844,7.071
Clinical epidemiology,Clin Epidemiol,101531700,7.056
Earth-science reviews,Earth Sci Rev,101670262,7.051
Critical care medicine,Crit Care Med,0355501,7.05
Conservation letters,Conserv Lett,101632486,7.02
Journal of the American Academy of Dermatology,J Am Acad Dermatol,7907132,7.002
European journal of heart failure,Eur J Heart Fail,100887595,6.968
mBio,MBio,101519231,6.956
Comprehensive Physiology,Compr Physiol,101574442,6.949
Water research,Water Res,0105072,6.942
Current opinion in solid state & materials science,Curr Opin Solid State Mater Sci,101568837,6.938
2d materials,2d Mater,101697361,6.937
Current opinion in structural biology,Curr Opin Struct Biol,9107784,6.932
Advanced optical materials,Adv Opt Mater,101661727,6.875
GigaScience,Gigascience,101596872,6.871
"Hypertension (Dallas, Tex. : 1979)",Hypertension,7906255,6.857
Journal of catalysis,J Catal,0374756,6.844
Critical reviews in plant sciences,CRC Crit Rev Plant Sci,9889759,6.825
Molecular metabolism,Mol Metab,101605730,6.799
Cytokine & growth factor reviews,Cytokine Growth Factor Rev,9612306,6.794
Acta psychiatrica Scandinavica,Acta Psychiatr Scand,0370364,6.79
Canadian Medical Association journal,Can Med Assoc J,0414110,6.784
Molecular neurodegeneration,Mol Neurodegener,101266600,6.78
BMC biology,BMC Biol,101190720,6.779
IEEE transactions on industrial informatics,IEEE Trans Industr Inform,101568906,6.764
ACS photonics,ACS Photonics,101634366,6.756
ACM computing surveys,ACM Comput Surv,9875115,6.748
Chemistry & biology,Chem Biol,9500160,6.743
Progress in photovoltaics,Prog Photovolt,101661815,6.726
Aging cell,Aging Cell,101130839,6.714
Mayo Clinic proceedings,Mayo Clin Proc,0405543,6.686
Critical reviews in therapeutic drug carrier systems,Crit Rev Ther Drug Carrier Syst,8511159,6.667
IEEE transactions on smart grid,IEEE Trans Smart Grid,101587977,6.645
Critical reviews in biochemistry and molecular biology,Crit Rev Biochem Mol Biol,8903774,6.639
Current opinion in microbiology,Curr Opin Microbiol,9815056,6.635
Seminars in cell & developmental biology,Semin Cell Dev Biol,9607332,6.614
PLoS pathogens,PLoS Pathog,101238921,6.608
Organic letters,Org Lett,100890393,6.579
British journal of sports medicine,Br J Sports Med,0432520,6.557
Critical reviews in biotechnology,Crit Rev Biotechnol,8505177,6.542
International journal of cancer,Int J Cancer,0042124,6.513
Gastrointestinal endoscopy,Gastrointest Endosc,0010505,6.501
Science signaling,Sci Signal,101465400,6.494
Plant physiology,Plant Physiol,0401224,6.456
Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry,8704565,6.442
Frontiers in immunology,Front Immunol,101560960,6.429
Nanotoxicology,Nanotoxicology,101233132,6.428
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Neuropsychopharmacology,8904907,6.403
Drug delivery,Drug Deliv,9417471,6.402
Journal of power sources,J Power Sources,101524266,6.395
Cancer letters,Cancer Lett,7600053,6.375
Drug discovery today,Drug Discov Today,9604391,6.369
Neuropsychology review,Neuropsychol Rev,9009029,6.352
Journal of hematology & oncology,J Hematol Oncol,101468937,6.35
IEEE computational intelligence magazine,IEEE Comput Intell Mag,101633724,6.343
Blood reviews,Blood Rev,8708558,6.342
Antioxidants & redox signaling,Antioxid Redox Signal,100888899,6.337
Carbon,Carbon N Y,101204394,6.337
Redox biology,Redox Biol,101605639,6.337
International journal of neural systems,Int J Neural Syst,9100527,6.333
Trends in parasitology,Trends Parasitol,100966034,6.333
Analytical chemistry,Anal Chem,0370536,6.32
Acta biomaterialia,Acta Biomater,101233144,6.319
Journal of the International AIDS Society,J Int AIDS Soc,101478566,6.296
Therapeutic advances in medical oncology,Ther Adv Med Oncol,101510808,6.294
Critical reviews in microbiology,Crit Rev Microbiol,8914274,6.281
Annual review of environment and resources,Annu Rev Environ Resour,101171970,6.268
Advances in cancer research,Adv Cancer Res,0370416,6.267
Remote sensing of environment,Remote Sens Environ,101572538,6.265
Journal of medicinal chemistry,J Med Chem,9716531,6.259
Educational psychologist,Educ Psychol,0412727,6.257
British journal of anaesthesia,Br J Anaesth,0372541,6.238
Seminars in oncology,Semin Oncol,0420432,6.212
Molecular cancer,Mol Cancer,101147698,6.204
Molecular biology and evolution,Mol Biol Evol,8501455,6.202
Glia,Glia,8806785,6.2
Environmental science & technology,Environ Sci Technol,0213155,6.198
Molecular neurobiology,Mol Neurobiol,8900963,6.19
International journal of cardiology,Int J Cardiol,8200291,6.189
BMJ quality & safety,BMJ Qual Saf,101546984,6.186
ACS macro letters,ACS Macro Lett,101574672,6.185
British journal of cancer,Br J Cancer,0370635,6.176
Neuro-Signals,Neurosignals,101134359,6.143
Current opinion in colloid & interface science,Curr Opin Colloid Interface Sci,9614964,6.136
Current opinion in neurobiology,Curr Opin Neurobiol,9111376,6.133
Blood cancer journal,Blood Cancer J,101568469,6.126
IEEE transactions on neural networks and learning systems,IEEE Trans Neural Netw Learn Syst,101616214,6.108
PLoS genetics,PLoS Genet,101239074,6.1
Molecular ecology,Mol Ecol,9214478,6.086
Diabetologia,Diabetologia,0006777,6.08
Brain stimulation,Brain Stimul,101465726,6.078
Critical reviews in food science and nutrition,Crit Rev Food Sci Nutr,8914818,6.077
Journal of hazardous materials,J Hazard Mater,9422688,6.065
Heart (British Cardiac Society),Heart,9602087,6.059
Lab on a chip,Lab Chip,101128948,6.045
Chest,Chest,0231335,6.044
Journal of membrane science,J Memb Sci,7606202,6.035
Stroke,Stroke,0235266,6.032
European journal of cancer,Eur J Cancer,0074126,6.029
Cancer,Cancer,0374236,5.997
Journal of molecular cell biology,J Mol Cell Biol,101503669,5.988
"Epidemiology (Cambridge, Mass.)",Epidemiology,9009644,5.986
Comprehensive reviews in food science and food safety,Compr Rev Food Sci Food Saf,101305205,5.974
Progress in nuclear magnetic resonance spectroscopy,Prog Nucl Magn Reson Spectrosc,9886009,5.971
Cell death & disease,Cell Death Dis,101524092,5.965
ACS sustainable chemistry & engineering,ACS Sustain Chem Eng,101608852,5.951
Archives of toxicology,Arch Toxicol,0417615,5.901
Cellular & molecular immunology,Cell Mol Immunol,101242872,5.897
Journal of the Academy of Marketing Science,J Acad Mark Sci,101670428,5.888
Cardiovascular research,Cardiovasc Res,0077427,5.878
Journal of international business studies,J Int Bus Stud,101639186,5.869
"Development (Cambridge, England)",Development,8701744,5.843
Macromolecules,Macromolecules,0365316,5.835
NeuroImage,Neuroimage,9215515,5.835
Journal of experimental botany,J Exp Bot,9882906,5.83
Current opinion in genetics & development,Curr Opin Genet Dev,9111375,5.825
JAMA dermatology,JAMA Dermatol,101589530,5.817
Journal of clinical lipidology,J Clin Lipidol,101300157,5.812
IUCrJ,IUCrJ,101623101,5.793
Critical reviews in environmental science and technology,Crit Rev Environ Sci Technol,9317948,5.79
"Addiction (Abingdon, England)",Addiction,9304118,5.789
Progress in human geography,Prog Hum Geogr,101084355,5.776
Journal of the American Medical Directors Association,J Am Med Dir Assoc,100893243,5.775
Catalysis science & technology,Catal Sci Technol,101636664,5.773
Molecular cancer therapeutics,Mol Cancer Ther,101132535,5.764
Transfusion medicine reviews,Transfus Med Rev,8709027,5.745
Journal of cleaner production,J Clean Prod,101538287,5.715
Social issues and policy review,Soc Issues Policy Rev,101518060,5.714
Methods in ecology and evolution,Methods Ecol Evol,101539246,5.708
Pediatrics,Pediatrics,0376422,5.705
Molecular aspects of medicine,Mol Aspects Med,7603128,5.686
Journal of molecular and cellular cardiology,J Mol Cell Cardiol,0262322,5.68
Evolutionary applications,Evol Appl,101461828,5.671
British journal of haematology,Br J Haematol,0372544,5.67
Psychological science,Psychol Sci,9007542,5.667
Anesthesiology,Anesthesiology,1300217,5.66
Expert opinion on drug delivery,Expert Opin Drug Deliv,101228421,5.657
Bioresource technology,Bioresour Technol,9889523,5.651
Advances in experimental social psychology,Adv Exp Soc Psychol,0064143,5.65
Advanced synthesis & catalysis,Adv Synth Catal,101095751,5.646
Functional ecology,Funct Ecol,101479393,5.63
Thrombosis and haemostasis,Thromb Haemost,7608063,5.627
Epilepsy currents,Epilepsy Curr,101135954,5.625
JAMA ophthalmology,JAMA Ophthalmol,101589539,5.625
Emerging microbes & infections,Emerg Microbes Infect,101594885,5.605
"Stem cells (Dayton, Ohio)",Stem Cells,9304532,5.599
Stem cells,Stem Cells,8110002,5.599
Kidney international supplements,Kidney Int Suppl (2011),101562008,5.593
Energy conversion and management,Energy Convers Manag,101598654,5.589
Journal of stroke,J Stroke,101602023,5.576
American journal of obstetrics and gynecology,Am J Obstet Gynecol,0370476,5.574
Annual review of chemical and biomolecular engineering,Annu Rev Chem Biomol Eng,101574034,5.571
Thyroid : official journal of the American Thyroid Association,Thyroid,9104317,5.515
Seminars in liver disease,Semin Liver Dis,8110297,5.5
British journal of pharmacology,Br J Pharmacol,7502536,5.491
International journal of obesity,Int J Obes,7703240,5.487
Tobacco control,Tob Control,9209612,5.469
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,Gastric Cancer,100886238,5.454
Journal of medical genetics,J Med Genet,2985087R,5.451
Pain,Pain,7508686,5.445
Endoscopy,Endoscopy,0215166,5.444
Reviews in medical virology,Rev Med Virol,9112448,5.439
Advances in genetics,Adv Genet,0370421,5.431
Obstetrics and gynecology,Obstet Gynecol,0401101,5.426
Annual review of sociology,Annu Rev Sociol,7511865,5.404
Environmental microbiology,Environ Microbiol,100883692,5.395
ACS synthetic biology,ACS Synth Biol,101575075,5.382
Bioscience,Bioscience,0231737,5.378
Polymer chemistry,Polym Chem,101562526,5.375
Protein & cell,Protein Cell,101532368,5.374
Current opinion in pharmacology,Curr Opin Pharmacol,100966133,5.363
Critical care,Crit Care,8208625,5.358
Seminars in radiation oncology,Semin Radiat Oncol,9202882,5.356
Neuropathology and applied neurobiology,Neuropathol Appl Neurobiol,7609829,5.347
Economic geography,Econ Geogr,101095330,5.344
Critical reviews in clinical laboratory sciences,Crit Rev Clin Lab Sci,8914816,5.34
Human molecular genetics,Hum Mol Genet,9208958,5.34
Journal of marketing,J Mark,101085208,5.318
Atmospheric chemistry and physics,Atmos Chem Phys,101214388,5.318
Molecular oncology,Mol Oncol,101308230,5.314
Environmental science & technology letters,Environ Sci Technol Lett,101628367,5.308
Basic research in cardiology,Basic Res Cardiol,0360342,5.306
Acta materialia,Acta Mater,101469696,5.301
IEEE journal of selected topics in signal processing,IEEE J Sel Top Signal Process,101514227,5.301
Seminars in immunopathology,Semin Immunopathol,101308769,5.296
Epilepsia,Epilepsia,2983306R,5.295
Nutrition reviews,Nutr Rev,0376405,5.291
American journal of hematology,Am J Hematol,7610369,5.275
Quarterly reviews of biophysics,Q Rev Biophys,0144032,5.267
Endocrine-related cancer,Endocr Relat Cancer,9436481,5.267
Integrated computer-aided engineering,Integr Comput Aided Eng,101544483,5.264
Clinical reviews in allergy & immunology,Clin Rev Allergy Immunol,9504368,5.263
Review of educational research,Rev Educ Res,20130240R,5.263
Current directions in psychological science,Curr Dir Psychol Sci,9211588,5.255
Angiogenesis,Angiogenesis,9814575,5.253
Current issues in molecular biology,Curr Issues Mol Biol,100931761,5.25
Biomacromolecules,Biomacromolecules,100892849,5.246
Journal of chemical theory and computation,J Chem Theory Comput,101232704,5.245
Biofabrication,Biofabrication,101521964,5.24
Psychological medicine,Psychol Med,1254142,5.23
Resuscitation,Resuscitation,0332173,5.23
Journal of economic literature,J Econ Lit,0206650,5.22
Clinical pharmacokinetics,Clin Pharmacokinet,7606849,5.216
Biotechnology for biofuels,Biotechnol Biofuels,101316935,5.203
MRS bulletin,MRS Bull,100971398,5.199
Investigative radiology,Invest Radiol,0045377,5.195
Trends in food science & technology,Trends Food Sci Technol,9426004,5.191
Journal of neurotrauma,J Neurotrauma,8811626,5.19
Epigenetics & chromatin,Epigenetics Chromatin,101471619,5.189
Critical reviews in toxicology,Crit Rev Toxicol,8914275,5.182
Journal of medical Internet research,J Med Internet Res,100959882,5.175
Pigment cell & melanoma research,Pigment Cell Melanoma Res,101318927,5.17
Oncotarget,Oncotarget,101532965,5.168
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,Neurotherapeutics,101290381,5.166
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,EuroIntervention,101251040,5.165
Briefings in bioinformatics,Brief Bioinform,100912837,5.134
Neurobiology of aging,Neurobiol Aging,8100437,5.117
Advanced healthcare materials,Adv Healthc Mater,101581613,5.11
Carcinogenesis,Carcinogenesis,8008055,5.105
Journal of neuroinflammation,J Neuroinflammation,101222974,5.102
Frontiers in molecular neuroscience,Front Mol Neurosci,101477914,5.076
Current opinion in virology,Curr Opin Virol,101560941,5.067
American journal of ophthalmology,Am J Ophthalmol,0370500,5.052
American journal of political science,Am J Pol Sci,100966955,5.044
Neurobiology of disease,Neurobiol Dis,9500169,5.02
Criminology : an interdisciplinary journal,Criminology,0263125,5.019
Journal of personality and social psychology,J Pers Soc Psychol,0014171,5.017
Neuropharmacology,Neuropharmacology,0236217,5.012
"Neoplasia (New York, N.Y.)",Neoplasia,100886622,5.006
"AIDS (London, England)",AIDS,8710219,5.003
Drugs,Drugs,7600076,5
ACS chemical biology,ACS Chem Biol,101282906,4.995
Clinical epigenetics,Clin Epigenetics,101516977,4.987
Health affairs,Health Aff,0351302,4.98
Journal of clinical epidemiology,J Clin Epidemiol,8801383,4.978
Depression and anxiety,Depress Anxiety,9708816,4.971
Trends in cardiovascular medicine,Trends Cardiovasc Med,9108337,4.964
The oncologist,Oncologist,9607837,4.962
Monthly notices of the Royal Astronomical Society,Mon Not R Astron Soc,100954591,4.961
Gynecologic oncology,Gynecol Oncol,0365304,4.959
Analytica chimica acta,Anal Chim Acta,0370534,4.95
